Geneid,SRR12998916,SRR12998917,SRR12998918,SRR12998919,SRR12998920,SRR12998921
BHE81_RS25410,0,0,0,0,0,0
BHE81_RS25415,10,2,6,16,8,4
BHE81_RS25585,8,22,41,54,58,50
BHE81_RS25590,22,78,217,148,176,146
BHE81_RS25595,0,6,17,8,10,4
BHE81_RS28870,0,0,0,0,6,0
BHE81_RS28875,0,0,14,2,0,0
BHE81_RS25605,2,0,6,0,2,4
BHE81_RS25610,0,9,7,16,8,8
BHE81_RS25620,0,0,0,0,0,0
BHE81_RS25625,0,0,0,0,0,2
BHE81_RS25630,2,16,18,22,38,19
BHE81_RS25635,80,60,257,307,282,153
BHE81_RS25640,6,12,23,55,33,28
BHE81_RS25645,4,10,41,46,15,37
BHE81_RS25655,4,8,13,12,20,4
BHE81_RS25660,2,19,5,20,26,12
BHE81_RS25670,14,10,64,41,44,60
BHE81_RS25675,14,34,116,60,44,65
BHE81_RS25680,0,6,2,0,6,9
BHE81_RS25685,0,12,18,32,41,23
BHE81_RS25690,0,2,0,10,19,8
BHE81_RS25700,42,135,60,204,363,79
BHE81_RS25705,6,13,24,19,18,15
BHE81_RS25715,2,5,6,8,1,2
BHE81_RS25720,3,12,4,1,14,2
BHE81_RS28880,0,0,0,0,0,0
BHE81_RS25885,0,6,8,28,23,12
BHE81_RS25890,4,0,2,42,10,22
BHE81_RS25905,0,10,12,16,7,6
BHE81_RS29060,0,0,2,0,1,1
BHE81_RS25915,2,0,18,48,14,19
BHE81_RS25920,0,0,2,2,6,2
BHE81_RS26345,0,1,0,4,4,0
BHE81_RS26350,10,13,14,11,30,6
BHE81_RS26355,0,4,7,8,8,2
BHE81_RS26360,4,10,8,30,36,18
BHE81_RS26365,0,2,9,9,20,10
BHE81_RS26370,2,1,2,10,8,4
BHE81_RS26375,2,6,2,8,6,0
BHE81_RS26380,2,4,6,2,4,6
BHE81_RS26385,4,6,4,10,12,6
BHE81_RS26390,0,0,0,0,2,0
BHE81_RS26395,0,0,0,1,3,1
BHE81_RS26400,1,0,0,8,2,0
BHE81_RS26405,9,24,20,17,48,16
BHE81_RS29075,0,1,2,1,0,0
BHE81_RS26410,0,2,4,3,6,2
BHE81_RS26415,4,0,4,2,6,5
BHE81_RS26420,0,0,4,7,15,12
BHE81_RS26425,0,0,9,17,10,11
BHE81_RS26430,0,0,0,1,2,0
BHE81_RS26435,0,0,4,6,12,4
BHE81_RS26440,16,16,30,37,34,10
BHE81_RS26445,0,2,0,0,2,0
BHE81_RS26450,0,0,0,6,0,8
BHE81_RS26455,2,0,2,8,6,0
BHE81_RS26460,8,18,44,40,38,29
BHE81_RS26465,0,0,0,2,4,3
BHE81_RS26470,0,28,28,38,58,22
BHE81_RS26475,0,2,4,8,8,4
BHE81_RS26480,0,0,0,2,2,0
BHE81_RS26485,0,12,12,24,16,4
BHE81_RS26490,0,8,17,34,24,20
BHE81_RS26495,0,8,30,22,24,35
BHE81_RS26500,0,3,2,16,0,0
BHE81_RS29185,0,0,0,2,6,0
BHE81_RS26505,0,1,0,0,2,2
BHE81_RS26510,0,0,0,0,4,0
BHE81_RS26515,10,20,26,49,43,24
BHE81_RS27895,0,0,6,4,2,0
BHE81_RS27900,0,0,0,0,4,2
BHE81_RS27905,0,0,0,0,3,2
BHE81_RS27910,0,0,2,0,0,0
BHE81_RS27915,4,2,4,5,16,4
BHE81_RS27920,4,7,11,14,13,13
BHE81_RS27925,9,14,28,140,109,102
BHE81_RS27930,0,0,2,13,9,7
BHE81_RS27935,0,0,4,6,0,0
BHE81_RS27945,2,0,2,7,16,4
BHE81_RS27950,2,0,2,0,4,0
BHE81_RS28965,0,0,0,0,0,0
BHE81_RS27955,0,0,0,0,0,0
BHE81_RS27960,0,0,0,0,0,0
BHE81_RS25420,0,4,2,8,10,4
BHE81_RS25425,6,0,14,16,13,4
BHE81_RS25430,0,0,4,7,2,4
BHE81_RS25435,0,0,14,3,0,7
BHE81_RS25440,60,39,164,96,69,60
BHE81_RS25445,6,0,19,28,21,54
BHE81_RS25450,0,0,1,0,0,2
BHE81_RS25455,4,2,18,56,6,26
BHE81_RS25460,0,0,0,2,0,2
BHE81_RS25465,2,0,6,0,0,2
BHE81_RS25470,0,0,0,0,0,0
BHE81_RS25475,2,0,1,8,0,0
BHE81_RS25480,4,0,2,2,4,4
BHE81_RS25485,0,0,2,2,0,0
BHE81_RS25490,0,0,2,2,3,0
BHE81_RS25495,0,0,4,4,8,0
BHE81_RS25500,0,0,0,2,6,2
BHE81_RS25505,0,2,0,2,0,4
BHE81_RS25510,2,4,0,4,9,0
BHE81_RS25515,8,4,9,16,12,16
BHE81_RS25520,0,0,4,2,2,2
BHE81_RS25525,13,26,26,44,74,18
BHE81_RS28980,0,4,0,3,4,0
BHE81_RS25535,0,4,0,4,10,2
BHE81_RS25540,0,0,1,0,8,0
BHE81_RS25545,0,6,2,6,8,2
BHE81_RS25550,2,2,4,8,15,2
BHE81_RS25555,0,10,8,26,30,22
BHE81_RS25560,0,0,0,4,8,2
BHE81_RS25565,6,15,21,25,47,14
BHE81_RS25570,0,4,1,0,0,0
BHE81_RS25575,0,0,0,0,0,0
BHE81_RS25580,0,4,2,2,2,0
BHE81_RS25725,0,0,6,4,0,1
BHE81_RS25730,0,0,2,0,0,4
BHE81_RS25740,4,0,7,0,0,6
BHE81_RS25745,569,587,475,787,763,277
BHE81_RS28415,2,0,2,2,0,2
BHE81_RS28890,0,0,0,0,0,0
BHE81_RS25770,0,0,0,0,0,0
BHE81_RS25775,4,7,29,28,23,22
BHE81_RS25780,12,2,15,15,17,15
BHE81_RS25785,4,2,10,28,45,14
BHE81_RS25790,1,18,16,12,10,2
BHE81_RS25795,0,0,6,2,6,2
BHE81_RS25800,0,0,6,19,12,2
BHE81_RS29055,4,4,4,34,25,31
BHE81_RS25815,41,18,136,95,98,82
BHE81_RS25820,6,3,40,29,22,18
BHE81_RS25825,0,0,0,1,2,0
BHE81_RS25830,0,0,0,2,2,2
BHE81_RS25835,0,0,0,0,0,0
BHE81_RS25840,0,0,2,0,0,0
BHE81_RS25845,0,0,2,1,0,0
BHE81_RS25850,0,0,0,3,0,0
BHE81_RS25855,0,0,0,0,0,0
BHE81_RS25860,0,0,0,0,0,0
BHE81_RS25865,0,0,0,0,0,0
BHE81_RS25870,0,3,4,13,12,4
BHE81_RS25925,0,0,2,0,0,0
BHE81_RS25930,0,0,0,0,0,0
BHE81_RS25935,0,0,0,0,0,0
BHE81_RS25940,0,0,0,0,0,0
BHE81_RS25945,0,0,0,0,0,0
BHE81_RS25950,0,0,0,0,0,0
BHE81_RS25955,0,2,1,0,4,0
BHE81_RS25960,0,0,0,0,0,0
BHE81_RS25965,0,0,0,2,0,0
BHE81_RS25970,0,0,0,0,0,0
BHE81_RS25975,0,1,0,0,2,0
BHE81_RS25980,1,3,11,7,4,19
BHE81_RS28420,7,5,13,19,18,15
BHE81_RS25990,16,9,91,71,36,83
BHE81_RS25995,2,9,4,11,14,26
BHE81_RS26000,0,0,0,2,0,2
BHE81_RS26005,0,2,4,14,16,8
BHE81_RS26025,10,2,75,196,112,138
BHE81_RS26030,6,0,38,45,10,32
BHE81_RS26035,1,0,29,34,0,50
BHE81_RS26050,8,4,4,70,114,50
BHE81_RS26055,4,2,8,23,45,23
BHE81_RS26060,1,5,10,36,52,18
BHE81_RS26065,3,0,3,14,6,3
BHE81_RS26070,2,5,2,11,11,5
BHE81_RS26075,0,4,2,2,4,1
BHE81_RS26080,0,2,11,22,18,15
BHE81_RS26090,36,42,87,96,119,55
BHE81_RS26095,0,2,4,16,10,6
BHE81_RS26100,4,4,12,11,13,2
BHE81_RS26105,0,0,0,0,0,2
BHE81_RS26110,4,8,6,2,26,0
BHE81_RS28910,0,0,0,4,0,0
BHE81_RS26120,0,0,14,3,4,7
BHE81_RS26125,2,0,13,1,1,6
BHE81_RS26130,2,12,29,32,34,20
BHE81_RS28985,2,5,2,5,2,0
BHE81_RS26140,6,7,2,15,17,4
BHE81_RS26145,2,9,5,11,17,8
BHE81_RS26150,0,0,0,2,0,0
BHE81_RS26155,0,0,2,1,0,2
BHE81_RS26160,2,0,0,0,2,0
BHE81_RS26165,12,35,22,51,46,18
BHE81_RS26170,0,4,16,7,8,7
BHE81_RS26175,10,14,27,43,47,15
BHE81_RS26180,8,10,16,15,30,10
BHE81_RS26185,2,8,12,12,33,10
