gene_id,log2FoldChange,padj,product,keyword_found,regulation
BHE81_RS26235,2.369513940616809,5.523600548130027e-05,Fe(3+) dicitrate ABC transporter substrate-binding protein FecB,transporter,UP
BHE81_RS26240,4.476027160548608,6.672164473276037e-05,iron-dicitrate ABC transporter permease FecC,transporter,UP
BHE81_RS26245,2.1121446471018155,0.013541739686082,Fe(3+) dicitrate ABC transporter permease subunit FecD,transporter,UP
BHE81_RS26250,3.736277254306864,0.0244081571942792,Fe(3+) dicitrate ABC transporter ATP-binding protein FecE,transporter,UP
BHE81_RS27570,-2.5941195465427778,4.311987126312057e-13,chlorite dismutase family protein,dismutase,DOWN
BHE81_RS00020,-3.3748325707804048,0.0001031068104236,ABC transporter permease,transporter,DOWN
BHE81_RS00025,-3.2718865118623754,1.1661846413168005e-07,ribosome-associated ATPase/putative transporter RbbA,transporter,DOWN
BHE81_RS00060,-2.162495600450047,0.0447027551996113,NAD(P)H-dependent oxidoreductase,reductase,DOWN
BHE81_RS00115,-5.063685031393205,2.695916567698959e-11,double-cubane-cluster-containing anaerobic reductase,reductase,DOWN
BHE81_RS00330,-3.831255148484223,0.00345453522115,PTS mannose/fructose/sorbose/N-acetylgalactosamine transporter subunit IIC,transporter,DOWN
BHE81_RS00335,-3.2038448379810003,0.0021577317544778,PTS system mannose/fructose/sorbose family transporter subunit IID,transporter,DOWN
BHE81_RS00410,-2.451923765515093,3.890441657847502e-05,PTS cellobiose transporter subunit IIC,transporter,DOWN
BHE81_RS00645,-1.947072749652026,0.0168074604952692,acetate uptake transporter,transporter,DOWN
BHE81_RS00810,2.19860474750218,0.0431834817110034,glutathione-regulated potassium-efflux system oxidoreductase KefF,efflux,UP
BHE81_RS01295,-1.4433551621591698,0.0092836699320862,PTS sugar transporter subunit IIA,transporter,DOWN
BHE81_RS01755,1.3994482476157453,0.0299679200742816,NADPH-dependent aldehyde reductase Ahr,reductase,UP
BHE81_RS01760,4.5193850334295815,4.5063478257249347e-11,SulP family inorganic anion transporter,transporter,UP
BHE81_RS01945,-1.8751426010747485,0.0006360689687255,efflux RND transporter periplasmic adaptor subunit,transporter,DOWN
BHE81_RS02085,-1.2469258690345018,0.0132049118824117,NADH:ubiquinone reductase (Na(+)-transporting) subunit B,reductase,DOWN
BHE81_RS02090,-1.2753150643987048,0.0078247176674005,Na(+)-translocating NADH-quinone reductase subunit C,reductase,DOWN
BHE81_RS02095,-1.1497498657872798,0.0216097759327323,NADH:ubiquinone reductase (Na(+)-transporting) subunit D,reductase,DOWN
BHE81_RS02100,-1.3994174429737964,0.0121533590831682,NADH:ubiquinone reductase (Na(+)-transporting) subunit E,reductase,DOWN
BHE81_RS02105,-1.5996487893373188,0.0019720870248977,NADH:ubiquinone reductase (Na(+)-transporting) subunit F,reductase,DOWN
BHE81_RS02645,2.910578902299567,0.0210193366616065,ABC transporter ATP-binding protein,transporter,UP
BHE81_RS02695,3.468907081718191,5.661672710974576e-08,taurine ABC transporter substrate-binding protein,transporter,UP
BHE81_RS02700,2.862101155288041,0.0025019448347043,taurine ABC transporter ATP-binding subunit,transporter,UP
BHE81_RS02740,2.398205805193683,9.316508793867696e-05,peptide antibiotic transporter SbmA,transporter,UP
BHE81_RS02770,-2.430470558461627,0.0025019448347043,multidrug efflux MFS transporter,transporter,DOWN
BHE81_RS03290,-1.9884818651102223,0.0297707384306173,ABC transporter ATP-binding protein,transporter,DOWN
