product,count
,673
hypothetical protein,17
ABC transporter substrate-binding protein,6
ABC transporter permease,5
LysR family transcriptional regulator,4
sugar ABC transporter substrate-binding protein,3
sugar ABC transporter ATP-binding protein,3
cupin domain-containing protein,3
FecCD family ABC transporter permease,3
YgdI/YgdR family lipoprotein,3
MFS transporter,3
GNAT family N-acetyltransferase,3
IS66 family transposase,3
aspartate aminotransferase family protein,2
arginine N-succinyltransferase,2
succinylglutamate-semialdehyde dehydrogenase,2
DMSO/selenate family reductase complex B subunit,2
succinylglutamate desuccinylase,2
MerR family transcriptional regulator,2
ABC transporter permease subunit,2
