gene_id,product,log2FoldChange,padj,functional_category
BHE81_RS27925,TonB-dependent copper receptor,1.5603231414577663,0.0065126606350152,Unknown
BHE81_RS25440,conjugal transfer complement resistance protein TraT,-1.6173781325529266,0.0234339309391595,Unknown
BHE81_RS25745,type I toxin-antitoxin system Hok family toxin,-1.567361336475284,0.0111130314104064,Unknown
BHE81_RS26050,single-stranded DNA-binding protein,2.2412493975102974,0.0081915594799707,Unknown
BHE81_RS26220,RNA polymerase sigma factor FecI,2.933596455848682,0.0001354122046023,Transcription
BHE81_RS26230,TonB-dependent Fe(3+) dicitrate receptor FecA,2.538400963269346,1.991511546491129e-05,Unknown
BHE81_RS26235,Fe(3+) dicitrate ABC transporter substrate-binding protein FecB,2.369513940616809,5.523600548130027e-05,Transport
BHE81_RS26240,iron-dicitrate ABC transporter permease FecC,4.476027160548608,6.672164473276037e-05,Transport
BHE81_RS26245,Fe(3+) dicitrate ABC transporter permease subunit FecD,2.1121446471018155,0.013541739686082,Transport
BHE81_RS26250,Fe(3+) dicitrate ABC transporter ATP-binding protein FecE,3.736277254306864,0.0244081571942792,Transport
BHE81_RS26290,beta-galactosidase,-1.7177060572250389,0.0001721342166069,Unknown
BHE81_RS26335,hypothetical protein,2.251589034881595,0.007867860162905,Unknown
BHE81_RS26590,Y-family DNA polymerase,2.585773899810076,0.0139324851334926,Unknown
BHE81_RS26665,hypothetical protein,-1.570164314203731,4.4490082865159344e-05,Unknown
BHE81_RS26685,hypothetical protein,2.0991059839574806,0.0096371357019351,Unknown
BHE81_RS26815,tetracycline resistance transcriptional repressor TetR(D),2.224207063807908,0.0097405645455465,Transcription
BHE81_RS26880,hypothetical protein,-4.27886664399761,0.0282601053454399,Unknown
BHE81_RS26885,IS66 family transposase,-1.1328963501930551,0.0228366078447365,Unknown
BHE81_RS27330,OsmC family protein,2.5771463813186526,0.0006867080004151,Unknown
BHE81_RS27400,MbeB family mobilization protein,1.452080223830751,0.0045039799352295,Unknown
BHE81_RS27425,IS4-like element ISApu1 family transposase,-2.4977439965575434,5.42066659556702e-05,Unknown
BHE81_RS27530,AraC family transcriptional regulator,-1.0184729328210596,0.0235042910269635,Transcription
BHE81_RS27565,IS66 family transposase,-2.5576791254612465,2.475691757810974e-09,Unknown
BHE81_RS27570,chlorite dismutase family protein,-2.5941195465427778,4.311987126312057e-13,Unknown
BHE81_RS27575,cupin domain-containing protein,-1.7397948377145744,0.0120326714528779,Unknown
BHE81_RS27690,type-F conjugative transfer system pilin acetylase TraX,-2.134903750647442,0.0003615533719373,Unknown
BHE81_RS00020,ABC transporter permease,-3.3748325707804048,0.0001031068104236,Transport
BHE81_RS00025,ribosome-associated ATPase/putative transporter RbbA,-3.2718865118623754,1.1661846413168005e-07,Transport
BHE81_RS00030,HlyD family secretion protein,-3.721724974621528,8.833988730859946e-11,Unknown
BHE81_RS00060,NAD(P)H-dependent oxidoreductase,-2.162495600450047,0.0447027551996113,Energy
BHE81_RS00065,LysR family transcriptional regulator,-1.701120662424417,0.0327623101963492,Transcription
BHE81_RS00110,putative 2-hydroxyacyl-CoA dehydratase activator YjiL,-3.993406387225694,6.598558544161069e-05,Unknown
BHE81_RS00115,double-cubane-cluster-containing anaerobic reductase,-5.063685031393205,2.695916567698959e-11,Energy
BHE81_RS00150,NAD-dependent succinate-semialdehyde dehydrogenase,1.936750422021972,0.000827882887257,Metabolism
BHE81_RS00155,hypothetical protein,2.830893461409694,0.007343930422515,Unknown
BHE81_RS00160,YfaZ family outer membrane protein,1.2138936083152605,0.0494610045163514,Membrane
BHE81_RS00330,PTS mannose/fructose/sorbose/N-acetylgalactosamine transporter subunit IIC,-3.831255148484223,0.00345453522115,Transport
BHE81_RS00335,PTS system mannose/fructose/sorbose family transporter subunit IID,-3.2038448379810003,0.0021577317544778,Transport
BHE81_RS00345,SIS domain-containing protein,-2.2880418081150524,0.0060057427804368,Unknown
BHE81_RS00370,primosomal protein DnaT,-1.7824724460178685,0.0023147192574057,Unknown
BHE81_RS00380,threonine/serine ThrE exporter family protein,-2.355949526734266,0.0339024922958417,Transport
BHE81_RS00410,PTS cellobiose transporter subunit IIC,-2.451923765515093,3.890441657847502e-05,Transport
BHE81_RS00460,molecular chaperone OsmY,2.550437751630637,2.8287047882210876e-10,Unknown
BHE81_RS00465,DUF1328 domain-containing protein,1.5484048436580056,0.0126576991318289,Unknown
BHE81_RS00595,thr operon leader peptide,2.529030234153048,0.004245526113486,Unknown
BHE81_RS00600,bifunctional aspartate kinase/homoserine dehydrogenase I,1.2079195428715812,0.0165612608306857,Metabolism
BHE81_RS00625,alanine/glycine:cation symporter family protein,-1.4663156280884868,0.0261948412488249,Unknown
BHE81_RS00645,acetate uptake transporter,-1.947072749652026,0.0168074604952692,Transport
BHE81_RS00715,ribonucleoside hydrolase RihC,-1.0844109425652906,0.0426081286034272,Unknown
BHE81_RS00805,YgdI/YgdR family lipoprotein,3.055097742322114,0.0025019448347043,Membrane
BHE81_RS00810,glutathione-regulated potassium-efflux system oxidoreductase KefF,2.19860474750218,0.0431834817110034,Energy
BHE81_RS00910,arabinose operon transcriptional regulator AraC,-1.884644368801808,4.700982279592994e-05,Transcription
BHE81_RS00935,HTH-type transcriptional regulator SgrR,-1.5138416625614943,0.0374361760851666,Transcription
BHE81_RS01025,catabolite repressor/activator,-1.440846183708088,0.0059124866415249,Transcription
BHE81_RS01030,division/cell wall cluster transcriptional repressor MraZ,1.519474163593389,0.0001031068104236,Transcription
BHE81_RS01035,16S rRNA (cytosine(1402)-N(4))-methyltransferase RsmH,1.3455612437732296,0.0048273935590125,Metabolism
BHE81_RS01160,carboxylating nicotinate-nucleotide diphosphorylase,1.1483573901572606,0.0415334535486369,Unknown
BHE81_RS01235,protein YacL,-2.3404613190036065,2.1420068438266014e-11,Unknown
BHE81_RS01295,PTS sugar transporter subunit IIA,-1.4433551621591698,0.0092836699320862,Transport
BHE81_RS01300,polysaccharide deacetylase family protein,-1.3902026928383084,0.0189154236893002,Unknown
BHE81_RS01440,ferrichrome porin FhuA,2.6003784405269688,1.1720909841627005e-05,Membrane
BHE81_RS01470,iron-sulfur cluster insertion protein ErpA,1.1452123413015205,0.0154650092420131,Unknown
BHE81_RS01495,serine endoprotease DegP,3.4260265723876446,3.723562890800081e-34,Unknown
BHE81_RS01555,(2E%2C6E)-farnesyl-diphosphate-specific ditrans%2Cpolycis-undecaprenyl-diphosphate synthase,1.1439013110776508,0.0294890891619435,Metabolism
