Geneid,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene_id,gene_name,kegg_orthology,kegg_pathway,kegg_module,kegg_enzyme,kegg_description,paper_reference,log2fc
BHE81_RS27925,49.20169749192987,1.5603231414577663,0.4594620078969053,3.39597858939378,0.0006838370849281,0.0065126606350152,BHE81_RS27925,gene_0000,K20000,ko00190,M2000,,DNA repair enzyme,NO,1.5603231414577663
BHE81_RS25440,94.18107084834736,-1.6173781325529266,0.5503337186624162,-2.9389043006195537,0.0032937475816358,0.0234339309391595,BHE81_RS25440,gene_0001,K20001,ko00920,M2001,,membrane transporter,NO,-1.6173781325529266
BHE81_RS25745,680.2838194725936,-1.567361336475284,0.4868766302804125,-3.219216612579197,0.0012854134459062,0.0111130314104064,BHE81_RS25745,gene_0002,K20002,ko01200,M2002,,metabolic enzyme,NO,-1.567361336475284
BHE81_RS26050,28.234162678415903,2.2412493975102974,0.6749981924147711,3.3203783694476923,0.0008989552119522,0.0081915594799707,BHE81_RS26050,gene_0003,K20003,ko00190,M2003,,oxidative stress protein,NO,2.2412493975102974
BHE81_RS26220,22.98890963622583,2.933596455848682,0.6550128682567774,4.478685225919343,7.510418553435159e-06,0.0001354122046023,BHE81_RS26220,gene_0004,K20004,ko02020,M2004,,oxidative stress protein,NO,2.933596455848682
BHE81_RS26230,140.88746080958273,2.538400963269346,0.5165599601955935,4.914049014383906,8.92144305017358e-07,1.991511546491129e-05,BHE81_RS26230,gene_0005,K20005,ko00190,M2005,,oxidative stress protein,NO,2.538400963269346
BHE81_RS26235,30.85950926306963,2.369513940616809,0.5051601112226739,4.690619643110203,2.723789000235715e-06,5.523600548130027e-05,BHE81_RS26235,gene_0006,K20006,ko03410,M2006,,DNA repair enzyme,NO,2.369513940616809
BHE81_RS26240,18.36062823262743,4.476027160548608,0.9634150614886394,4.646000814677309,3.384316656271799e-06,6.672164473276037e-05,BHE81_RS26240,gene_0007,K20007,ko02020,M2007,,DNA repair enzyme,NO,4.476027160548608
BHE81_RS26245,20.419336445295848,2.1121446471018155,0.6712915487748944,3.1463894502418137,0.0016529973781304,0.013541739686082,BHE81_RS26245,gene_0008,K20008,ko03410,M2008,,stress response regulator,NO,2.1121446471018155
BHE81_RS26250,6.9170013736329565,3.736277254306864,1.2784069419598287,2.922604009470616,0.0034711766571622,0.0244081571942792,BHE81_RS26250,gene_0009,K20009,ko02020,M2009,,oxidative stress protein,NO,3.736277254306864
BHE81_RS26290,93.06533747421436,-1.7177060572250389,0.3889397946473508,-4.416380326375376,1.0036742660657198e-05,0.0001721342166069,BHE81_RS26290,gene_0010,K20010,ko02010,M2010,,membrane transporter,NO,-1.7177060572250389
