Geneid,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene_id,gene_name,kegg_orthology,kegg_pathway,kegg_module,kegg_enzyme,kegg_description,paper_reference
BHE81_RS25440,94.18107084834736,-1.6173781325529266,0.5503337186624162,-2.9389043006195537,0.0032937475816358,0.0234339309391595,BHE81_RS25440,gene_1,K99992,"ko02010,ko01200",M2001,,Metabolic protein,NO
BHE81_RS25745,680.2838194725936,-1.567361336475284,0.4868766302804125,-3.219216612579197,0.0012854134459062,0.0111130314104064,BHE81_RS25745,gene_2,K99992,"ko02010,ko01200",M2002,,Metabolic protein,NO
BHE81_RS26290,93.06533747421436,-1.7177060572250389,0.3889397946473508,-4.416380326375376,1.0036742660657198e-05,0.0001721342166069,BHE81_RS26290,gene_10,K99992,"ko02010,ko01200",M2010,,Metabolic protein,NO
BHE81_RS26665,154.31088609966048,-1.570164314203731,0.3310707151361007,-4.742685602857528,2.109034504155456e-06,4.4490082865159344e-05,BHE81_RS26665,gene_13,K99992,"ko02010,ko01200",M2013,,Metabolic protein,NO
BHE81_RS26880,5.014922202807186,-4.27886664399761,1.4918425086159388,-2.8681758424804107,0.004128460103718,0.0282601053454399,BHE81_RS26880,gene_16,K99992,"ko02010,ko01200",M2016,,Metabolic protein,NO
BHE81_RS26885,52.5869578872756,-1.1328963501930551,0.3838213627883359,-2.9516240106150846,0.003161075842931,0.0228366078447365,BHE81_RS26885,gene_17,K99992,"ko02010,ko01200",M2017,,Metabolic protein,NO
BHE81_RS27425,32.20734323772153,-2.4977439965575434,0.5318323556218233,-4.696487474210097,2.646734578541849e-06,5.42066659556702e-05,BHE81_RS27425,gene_20,K99992,"ko02010,ko01200",M2020,,Metabolic protein,NO
BHE81_RS27530,299.3020621650754,-1.0184729328210596,0.3467197904353936,-2.9374525507820346,0.0033092080753771,0.0235042910269635,BHE81_RS27530,gene_21,K99992,"ko02010,ko01200",M2021,,Metabolic protein,NO
BHE81_RS27565,213.70367860990223,-2.5576791254612465,0.389322794085831,-6.569559153264924,5.046444445881578e-11,2.475691757810974e-09,BHE81_RS27565,gene_22,K99992,"ko02010,ko01200",M2022,,Metabolic protein,NO
BHE81_RS27570,1071.9344056339517,-2.5941195465427778,0.3304990184971678,-7.849099093663444,4.190364355979956e-15,4.311987126312057e-13,BHE81_RS27570,gene_23,K99992,"ko02010,ko01200",M2023,,Metabolic protein,NO
BHE81_RS27575,972.3292420383392,-1.7397948377145744,0.5452068163155923,-3.191073159121136,0.0014174538307846,0.0120326714528779,BHE81_RS27575,gene_24,K99992,"ko02010,ko01200",M2024,,Metabolic protein,NO
BHE81_RS27690,28.43466130497776,-2.134903750647442,0.503634657210457,-4.238992928866919,2.2452472966953066e-05,0.0003615533719373,BHE81_RS27690,gene_25,K99992,"ko02010,ko01200",M2025,,Metabolic protein,NO
