gene_id,gene_name,kegg_orthology,kegg_pathway,kegg_module,kegg_enzyme,kegg_description
NZ_MJDM01000011.1,sodA,K04564,"ko02020,ko01200",M1000,1.15.1.1,Superoxide dismutase [Mn]
NZ_MJDM01000022.1,sodB,K04565,ko02020,M1001,1.15.1.1,Superoxide dismutase [Fe]
NZ_MJDM01000033.1,ahpC,K03386,"ko02020,ko03410",M1002,1.15.1.1,Alkyl hydroperoxide reductase
NZ_MJDM01000044.1,rpoE,K02693,ko02020,M1003,1.15.1.1,RNA polymerase sigma factor
NZ_MJDM01000051.1,sulP,K02439,"ko02010,ko00920",M1004,1.15.1.1,Sulfate permease
NZ_MJDM01000052.1,fepA,K16088,ko02010,M1005,1.15.1.1,Ferric enterobactin receptor
NZ_MJDM01000053.1,des,K10263,ko01060,M1006,1.1.1.1,Fatty acid desaturase
NZ_MJDM01000054.1,gltA,K01647,ko00020,M1007,1.15.1.1,Citrate synthase
NZ_MJDM01000055.1,cybB,K00409,ko00190,M1008,1.15.1.1,Cytochrome b561
NZ_MJDM01000012.1,recN,K03562,ko03410,M1009,1.15.1.1,DNA repair protein RecN
NZ_MJDM01000013.1,cysZ,K03267,ko00920,M1010,1.15.1.1,Sulfate transporter CysZ
NZ_MJDM01000014.1,modA,K02024,ko02010,M1011,1.15.1.1,Molybdate transporter
NZ_MJDM01000015.1,feoB,K04759,ko02010,M1012,1.15.1.1,Ferrous iron transporter
NZ_MJDM01000016.1,gene_13,K20013,"ko02010,ko01200",M2013,,hypothetical protein NZ_MJDM01000016.1
NZ_MJDM01000017.1,gene_14,K20014,"ko02010,ko01200",M2014,,hypothetical protein NZ_MJDM01000017.1
NZ_MJDM01000018.1,gene_15,K20015,"ko02010,ko01200",M2015,,hypothetical protein NZ_MJDM01000018.1
NZ_MJDM01000019.1,gene_16,K20016,"ko02010,ko01200",M2016,,hypothetical protein NZ_MJDM01000019.1
NZ_MJDM01000020.1,gene_17,K20017,"ko02010,ko01200",M2017,,hypothetical protein NZ_MJDM01000020.1
NZ_MJDM01000021.1,gene_18,K20018,"ko02010,ko01200",M2018,,hypothetical protein NZ_MJDM01000021.1
NZ_MJDM01000023.1,gene_19,K20019,"ko02010,ko01200",M2019,,hypothetical protein NZ_MJDM01000023.1
NZ_MJDM01000024.1,gene_20,K20020,"ko02010,ko01200",M2020,,hypothetical protein NZ_MJDM01000024.1
NZ_MJDM01000025.1,gene_21,K20021,"ko02010,ko01200",M2021,,hypothetical protein NZ_MJDM01000025.1
NZ_MJDM01000026.1,gene_22,K20022,"ko02010,ko01200",M2022,,hypothetical protein NZ_MJDM01000026.1
NZ_MJDM01000027.1,gene_23,K20023,"ko02010,ko01200",M2023,,hypothetical protein NZ_MJDM01000027.1
NZ_MJDM01000028.1,gene_24,K20024,"ko02010,ko01200",M2024,,hypothetical protein NZ_MJDM01000028.1
NZ_MJDM01000029.1,gene_25,K20025,"ko02010,ko01200",M2025,,hypothetical protein NZ_MJDM01000029.1
NZ_MJDM01000030.1,gene_26,K20026,"ko02010,ko01200",M2026,,hypothetical protein NZ_MJDM01000030.1
NZ_MJDM01000031.1,gene_27,K20027,"ko02010,ko01200",M2027,,hypothetical protein NZ_MJDM01000031.1
NZ_MJDM01000032.1,gene_28,K20028,"ko02010,ko01200",M2028,,hypothetical protein NZ_MJDM01000032.1
NZ_MJDM01000034.1,gene_29,K20029,"ko02010,ko01200",M2029,,hypothetical protein NZ_MJDM01000034.1
NZ_MJDM01000035.1,gene_30,K20030,"ko02010,ko01200",M2030,,hypothetical protein NZ_MJDM01000035.1
NZ_MJDM01000036.1,gene_31,K20031,"ko02010,ko01200",M2031,,hypothetical protein NZ_MJDM01000036.1
NZ_MJDM01000037.1,gene_32,K20032,"ko02010,ko01200",M2032,,hypothetical protein NZ_MJDM01000037.1
NZ_MJDM01000038.1,gene_33,K20033,"ko02010,ko01200",M2033,,hypothetical protein NZ_MJDM01000038.1
NZ_MJDM01000039.1,gene_34,K20034,"ko02010,ko01200",M2034,,hypothetical protein NZ_MJDM01000039.1
NZ_MJDM01000040.1,gene_35,K20035,"ko02010,ko01200",M2035,,hypothetical protein NZ_MJDM01000040.1
NZ_MJDM01000041.1,gene_36,K20036,"ko02010,ko01200",M2036,,hypothetical protein NZ_MJDM01000041.1
NZ_MJDM01000042.1,gene_37,K20037,"ko02010,ko01200",M2037,,hypothetical protein NZ_MJDM01000042.1
NZ_MJDM01000043.1,gene_38,K20038,"ko02010,ko01200",M2038,,hypothetical protein NZ_MJDM01000043.1
NZ_MJDM01000045.1,gene_39,K20039,"ko02010,ko01200",M2039,,hypothetical protein NZ_MJDM01000045.1
NZ_MJDM01000046.1,gene_40,K20040,"ko02010,ko01200",M2040,,hypothetical protein NZ_MJDM01000046.1
NZ_MJDM01000047.1,gene_41,K20041,"ko02010,ko01200",M2041,,hypothetical protein NZ_MJDM01000047.1
NZ_MJDM01000048.1,gene_42,K20042,"ko02010,ko01200",M2042,,hypothetical protein NZ_MJDM01000048.1
NZ_MJDM01000049.1,gene_43,K20043,"ko02010,ko01200",M2043,,hypothetical protein NZ_MJDM01000049.1
NZ_MJDM01000050.1,gene_44,K20044,"ko02010,ko01200",M2044,,hypothetical protein NZ_MJDM01000050.1
NZ_MJDM01000001.1,gene_45,K20045,"ko02010,ko01200",M2045,,hypothetical protein NZ_MJDM01000001.1
NZ_MJDM01000002.1,gene_46,K20046,"ko02010,ko01200",M2046,,hypothetical protein NZ_MJDM01000002.1
NZ_MJDM01000003.1,gene_47,K20047,"ko02010,ko01200",M2047,,hypothetical protein NZ_MJDM01000003.1
NZ_MJDM01000004.1,gene_48,K20048,"ko02010,ko01200",M2048,,hypothetical protein NZ_MJDM01000004.1
NZ_MJDM01000005.1,gene_49,K20049,"ko02010,ko01200",M2049,,hypothetical protein NZ_MJDM01000005.1
NZ_MJDM01000006.1,gene_50,K20050,"ko02010,ko01200",M2050,,hypothetical protein NZ_MJDM01000006.1
NZ_MJDM01000007.1,gene_51,K20051,"ko02010,ko01200",M2051,,hypothetical protein NZ_MJDM01000007.1
