gene_id,gene_name,kegg_orthology,kegg_pathway,kegg_module,kegg_enzyme,kegg_description,paper_reference
BHE81_RS27925,gene_0,K99991,"ko02020,ko03410,ko00190",M2000,,Stress response protein,NO
BHE81_RS25440,gene_1,K99992,"ko02010,ko01200",M2001,,Metabolic protein,NO
BHE81_RS25745,gene_2,K99992,"ko02010,ko01200",M2002,,Metabolic protein,NO
BHE81_RS26050,gene_3,K99991,"ko02020,ko03410,ko00190",M2003,,Stress response protein,NO
BHE81_RS26220,gene_4,K99991,"ko02020,ko03410,ko00190",M2004,,Stress response protein,NO
BHE81_RS26230,gene_5,K99991,"ko02020,ko03410,ko00190",M2005,,Stress response protein,NO
BHE81_RS26235,gene_6,K99991,"ko02020,ko03410,ko00190",M2006,,Stress response protein,NO
BHE81_RS26240,gene_7,K99991,"ko02020,ko03410,ko00190",M2007,,Stress response protein,NO
BHE81_RS26245,gene_8,K99991,"ko02020,ko03410,ko00190",M2008,,Stress response protein,NO
BHE81_RS26250,gene_9,K99991,"ko02020,ko03410,ko00190",M2009,,Stress response protein,NO
BHE81_RS26290,gene_10,K99992,"ko02010,ko01200",M2010,,Metabolic protein,NO
BHE81_RS26335,gene_11,K99991,"ko02020,ko03410,ko00190",M2011,,Stress response protein,NO
BHE81_RS26590,gene_12,K99991,"ko02020,ko03410,ko00190",M2012,,Stress response protein,NO
BHE81_RS26665,gene_13,K99992,"ko02010,ko01200",M2013,,Metabolic protein,NO
BHE81_RS26685,gene_14,K99991,"ko02020,ko03410,ko00190",M2014,,Stress response protein,NO
BHE81_RS26815,gene_15,K99991,"ko02020,ko03410,ko00190",M2015,,Stress response protein,NO
BHE81_RS26880,gene_16,K99992,"ko02010,ko01200",M2016,,Metabolic protein,NO
BHE81_RS26885,gene_17,K99992,"ko02010,ko01200",M2017,,Metabolic protein,NO
BHE81_RS27330,gene_18,K99991,"ko02020,ko03410,ko00190",M2018,,Stress response protein,NO
BHE81_RS27400,gene_19,K99991,"ko02020,ko03410,ko00190",M2019,,Stress response protein,NO
BHE81_RS27425,gene_20,K99992,"ko02010,ko01200",M2020,,Metabolic protein,NO
BHE81_RS27530,gene_21,K99992,"ko02010,ko01200",M2021,,Metabolic protein,NO
BHE81_RS27565,gene_22,K99992,"ko02010,ko01200",M2022,,Metabolic protein,NO
BHE81_RS27570,gene_23,K99992,"ko02010,ko01200",M2023,,Metabolic protein,NO
BHE81_RS27575,gene_24,K99992,"ko02010,ko01200",M2024,,Metabolic protein,NO
BHE81_RS27690,gene_25,K99992,"ko02010,ko01200",M2025,,Metabolic protein,NO
BHE81_RS00020,gene_26,K99992,"ko02010,ko01200",M2026,,Metabolic protein,NO
BHE81_RS00025,gene_27,K99992,"ko02010,ko01200",M2027,,Metabolic protein,NO
BHE81_RS00030,gene_28,K99992,"ko02010,ko01200",M2028,,Metabolic protein,NO
BHE81_RS00060,gene_29,K99992,"ko02010,ko01200",M2029,,Metabolic protein,NO
BHE81_RS00065,gene_30,K99992,"ko02010,ko01200",M2030,,Metabolic protein,NO
BHE81_RS00110,gene_31,K99992,"ko02010,ko01200",M2031,,Metabolic protein,NO
BHE81_RS00115,gene_32,K99992,"ko02010,ko01200",M2032,,Metabolic protein,NO
BHE81_RS00150,gene_33,K99991,"ko02020,ko03410,ko00190",M2033,,Stress response protein,NO
BHE81_RS00155,gene_34,K99991,"ko02020,ko03410,ko00190",M2034,,Stress response protein,NO
BHE81_RS00160,gene_35,K99991,"ko02020,ko03410,ko00190",M2035,,Stress response protein,NO
BHE81_RS00330,gene_36,K99992,"ko02010,ko01200",M2036,,Metabolic protein,NO
BHE81_RS00335,gene_37,K99992,"ko02010,ko01200",M2037,,Metabolic protein,NO
BHE81_RS00345,gene_38,K99992,"ko02010,ko01200",M2038,,Metabolic protein,NO
