gene_id,gene_name,kegg_orthology,kegg_pathway,kegg_module,kegg_enzyme,kegg_description,paper_reference,log2fc
BHE81_RS27925,gene_0000,K20000,ko00190,M2000,,DNA repair enzyme,NO,1.5603231414577663
BHE81_RS25440,gene_0001,K20001,ko00920,M2001,,membrane transporter,NO,-1.6173781325529266
BHE81_RS25745,gene_0002,K20002,ko01200,M2002,,metabolic enzyme,NO,-1.567361336475284
BHE81_RS26050,gene_0003,K20003,ko00190,M2003,,oxidative stress protein,NO,2.2412493975102974
BHE81_RS26220,gene_0004,K20004,ko02020,M2004,,oxidative stress protein,NO,2.933596455848682
BHE81_RS26230,gene_0005,K20005,ko00190,M2005,,oxidative stress protein,NO,2.538400963269346
BHE81_RS26235,gene_0006,K20006,ko03410,M2006,,DNA repair enzyme,NO,2.369513940616809
BHE81_RS26240,gene_0007,K20007,ko02020,M2007,,DNA repair enzyme,NO,4.476027160548608
BHE81_RS26245,gene_0008,K20008,ko03410,M2008,,stress response regulator,NO,2.1121446471018155
BHE81_RS26250,gene_0009,K20009,ko02020,M2009,,oxidative stress protein,NO,3.736277254306864
BHE81_RS26290,gene_0010,K20010,ko02010,M2010,,membrane transporter,NO,-1.7177060572250389
BHE81_RS26335,gene_0011,K20011,ko02020,M2011,,stress response regulator,NO,2.251589034881595
BHE81_RS26590,gene_0012,K20012,ko00190,M2012,,stress response regulator,NO,2.585773899810076
BHE81_RS26665,gene_0013,K20013,ko01230,M2013,,metabolic enzyme,NO,-1.570164314203731
BHE81_RS26685,gene_0014,K20014,ko02020,M2014,,oxidative stress protein,NO,2.0991059839574806
BHE81_RS26815,gene_0015,K20015,ko00190,M2015,,DNA repair enzyme,NO,2.224207063807908
BHE81_RS26880,gene_0016,K20016,ko01200,M2016,,metabolic enzyme,NO,-4.27886664399761
BHE81_RS26885,gene_0017,K20017,ko02010,M2017,,membrane transporter,NO,-1.1328963501930551
BHE81_RS27330,gene_0018,K20018,ko00190,M2018,,stress response regulator,NO,2.5771463813186526
BHE81_RS27400,gene_0019,K20019,ko00190,M2019,,stress response regulator,NO,1.452080223830751
BHE81_RS27425,gene_0020,K20020,ko01200,M2020,,catabolic enzyme,NO,-2.4977439965575434
BHE81_RS27530,gene_0021,K20021,ko02010,M2021,,ion channel,NO,-1.0184729328210596
BHE81_RS27565,gene_0022,K20022,ko00020,M2022,,catabolic enzyme,NO,-2.5576791254612465
BHE81_RS27570,gene_0023,K20023,ko01200,M2023,,biosynthesis protein,NO,-2.5941195465427778
BHE81_RS27575,gene_0024,K20024,ko00020,M2024,,catabolic enzyme,NO,-1.7397948377145744
BHE81_RS27690,gene_0025,K20025,ko00020,M2025,,metabolic enzyme,NO,-2.134903750647442
BHE81_RS00020,gene_0026,K20026,ko01230,M2026,,metabolic enzyme,NO,-3.3748325707804048
BHE81_RS00025,gene_0027,K20027,ko01230,M2027,,metabolic enzyme,NO,-3.2718865118623754
BHE81_RS00030,gene_0028,K20028,ko00020,M2028,,catabolic enzyme,NO,-3.721724974621528
BHE81_RS00060,gene_0029,K20029,ko01200,M2029,,catabolic enzyme,NO,-2.162495600450047
BHE81_RS00065,gene_0030,K20030,ko01230,M2030,,metabolic enzyme,NO,-1.701120662424417
BHE81_RS00110,gene_0031,K20031,ko01200,M2031,,biosynthesis protein,NO,-3.993406387225694
BHE81_RS00115,gene_0032,K20032,ko01200,M2032,,biosynthesis protein,NO,-5.063685031393205
BHE81_RS00150,gene_0033,K20033,ko01060,M2033,,biosynthetic enzyme,NO,1.936750422021972
BHE81_RS00155,gene_0034,K20034,ko00190,M2034,,DNA repair enzyme,NO,2.830893461409694
BHE81_RS00160,gene_0035,K20035,ko02020,M2035,,DNA repair enzyme,NO,1.2138936083152605
BHE81_RS00330,gene_0036,K20036,ko01200,M2036,,biosynthesis protein,NO,-3.831255148484223
BHE81_RS00335,gene_0037,K20037,ko01200,M2037,,biosynthesis protein,NO,-3.2038448379810003
BHE81_RS00345,gene_0038,K20038,ko01230,M2038,,biosynthesis protein,NO,-2.2880418081150524
BHE81_RS00370,gene_0039,K20039,ko02010,M2039,,ABC transporter,NO,-1.7824724460178685
BHE81_RS00380,gene_0040,K20040,ko01200,M2040,,catabolic enzyme,NO,-2.355949526734266
BHE81_RS00410,gene_0041,K20041,ko00020,M2041,,catabolic enzyme,NO,-2.451923765515093
BHE81_RS00460,gene_0042,K20042,ko02020,M2042,,DNA repair enzyme,NO,2.550437751630637
BHE81_RS00465,gene_0043,K20043,ko01060,M2043,,biosynthetic enzyme,NO,1.5484048436580056
BHE81_RS00595,gene_0044,K20044,ko02020,M2044,,oxidative stress protein,NO,2.529030234153048
BHE81_RS00600,gene_0045,K20045,ko00920,M2045,,ABC transporter,NO,1.2079195428715812
BHE81_RS00625,gene_0046,K20046,ko02010,M2046,,ABC transporter,NO,-1.4663156280884868
BHE81_RS00645,gene_0047,K20047,ko00020,M2047,,catabolic enzyme,NO,-1.947072749652026
BHE81_RS00715,gene_0048,K20048,ko00020,M2048,,biosynthesis protein,NO,-1.0844109425652906
BHE81_RS00805,gene_0049,K20049,ko00190,M2049,,oxidative stress protein,NO,3.055097742322114
BHE81_RS00810,gene_0050,K20050,ko02020,M2050,,oxidative stress protein,NO,2.19860474750218
BHE81_RS00910,gene_0051,K20051,ko02010,M2051,,membrane transporter,NO,-1.884644368801808
BHE81_RS00935,gene_0052,K20052,ko00920,M2052,,membrane transporter,NO,-1.5138416625614943
BHE81_RS01025,gene_0053,K20053,ko01200,M2053,,catabolic enzyme,NO,-1.440846183708088
BHE81_RS01030,gene_0054,K20054,ko00190,M2054,,DNA repair enzyme,NO,1.519474163593389
BHE81_RS01035,gene_0055,K20055,ko01060,M2055,,polymerization enzyme,NO,1.3455612437732296
BHE81_RS01160,gene_0056,K20056,ko02010,M2056,,membrane transporter,NO,1.1483573901572606
BHE81_RS01235,gene_0057,K20057,ko00020,M2057,,metabolic enzyme,NO,-2.3404613190036065
BHE81_RS01295,gene_0058,K20058,ko00920,M2058,,ABC transporter,NO,-1.4433551621591698
BHE81_RS01300,gene_0059,K20059,ko00920,M2059,,membrane transporter,NO,-1.3902026928383084
BHE81_RS01440,gene_0060,K20060,ko00190,M2060,,oxidative stress protein,NO,2.6003784405269688
BHE81_RS01470,gene_0061,K20061,ko02010,M2061,,ion channel,NO,1.1452123413015205
BHE81_RS01495,gene_0062,K20062,ko02020,M2062,,oxidative stress protein,NO,3.4260265723876446
BHE81_RS01555,gene_0063,K20063,ko03410,M2063,,stress response regulator,NO,1.1439013110776508
BHE81_RS01565,gene_0064,K20064,ko00190,M2064,,DNA repair enzyme,NO,1.370489170536426
BHE81_RS01755,gene_0065,K20065,ko00920,M2065,,membrane transporter,NO,1.3994482476157453
BHE81_RS01760,gene_0066,K20066,ko00190,M2066,,DNA repair enzyme,NO,4.5193850334295815
BHE81_RS01765,gene_0067,K20067,ko00190,M2067,,DNA repair enzyme,NO,7.174633861233923
BHE81_RS01810,gene_0068,K20068,ko00020,M2068,,metabolic enzyme,NO,-1.281456195259472
BHE81_RS01945,gene_0069,K20069,ko01230,M2069,,biosynthesis protein,NO,-1.8751426010747485
BHE81_RS01980,gene_0070,K20070,ko01200,M2070,,metabolic enzyme,NO,-4.738645587757775
BHE81_RS02060,gene_0071,K20071,ko03410,M2071,,oxidative stress protein,NO,2.706429547025644
