Geneid,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene_id,gene_name,kegg_orthology,kegg_pathway,kegg_module,kegg_enzyme,kegg_description,paper_reference
BHE81_RS27925,49.20169749192987,1.5603231414577663,0.4594620078969053,3.39597858939378,0.0006838370849281,0.0065126606350152,BHE81_RS27925,gene_0,K99991,"ko02020,ko03410,ko00190",M2000,,Stress response protein,NO
BHE81_RS26050,28.234162678415903,2.2412493975102974,0.6749981924147711,3.3203783694476923,0.0008989552119522,0.0081915594799707,BHE81_RS26050,gene_3,K99991,"ko02020,ko03410,ko00190",M2003,,Stress response protein,NO
BHE81_RS26220,22.98890963622583,2.933596455848682,0.6550128682567774,4.478685225919343,7.510418553435159e-06,0.0001354122046023,BHE81_RS26220,gene_4,K99991,"ko02020,ko03410,ko00190",M2004,,Stress response protein,NO
BHE81_RS26230,140.88746080958273,2.538400963269346,0.5165599601955935,4.914049014383906,8.92144305017358e-07,1.991511546491129e-05,BHE81_RS26230,gene_5,K99991,"ko02020,ko03410,ko00190",M2005,,Stress response protein,NO
BHE81_RS26235,30.85950926306963,2.369513940616809,0.5051601112226739,4.690619643110203,2.723789000235715e-06,5.523600548130027e-05,BHE81_RS26235,gene_6,K99991,"ko02020,ko03410,ko00190",M2006,,Stress response protein,NO
BHE81_RS26240,18.36062823262743,4.476027160548608,0.9634150614886394,4.646000814677309,3.384316656271799e-06,6.672164473276037e-05,BHE81_RS26240,gene_7,K99991,"ko02020,ko03410,ko00190",M2007,,Stress response protein,NO
BHE81_RS26245,20.419336445295848,2.1121446471018155,0.6712915487748944,3.1463894502418137,0.0016529973781304,0.013541739686082,BHE81_RS26245,gene_8,K99991,"ko02020,ko03410,ko00190",M2008,,Stress response protein,NO
BHE81_RS26250,6.9170013736329565,3.736277254306864,1.2784069419598287,2.922604009470616,0.0034711766571622,0.0244081571942792,BHE81_RS26250,gene_9,K99991,"ko02020,ko03410,ko00190",M2009,,Stress response protein,NO
BHE81_RS26335,18.409208335294583,2.251589034881595,0.6754580937528245,3.3334252053622384,0.0008578373251804,0.007867860162905,BHE81_RS26335,gene_11,K99991,"ko02020,ko03410,ko00190",M2011,,Stress response protein,NO
BHE81_RS26590,13.23876321619867,2.585773899810076,0.8253401930308321,3.1329794933584187,0.0017304153140436,0.0139324851334926,BHE81_RS26590,gene_12,K99991,"ko02020,ko03410,ko00190",M2012,,Stress response protein,NO
BHE81_RS26685,15.281995005484184,2.0991059839574806,0.6421842243774036,3.268697523662403,0.0010804373517457,0.0096371357019351,BHE81_RS26685,gene_14,K99991,"ko02020,ko03410,ko00190",M2014,,Stress response protein,NO
BHE81_RS26815,17.100002779575064,2.224207063807908,0.6812111298933725,3.265077398480049,0.0010943416910616,0.0097405645455465,BHE81_RS26815,gene_15,K99991,"ko02020,ko03410,ko00190",M2015,,Stress response protein,NO
BHE81_RS27330,21.83935465238784,2.5771463813186526,0.6337244703232445,4.066666985423688,4.769031621750457e-05,0.0006867080004151,BHE81_RS27330,gene_18,K99991,"ko02020,ko03410,ko00190",M2018,,Stress response protein,NO
BHE81_RS27400,47.9098750174245,1.452080223830751,0.4131906244484013,3.51431067868309,0.0004408968270324,0.0045039799352295,BHE81_RS27400,gene_19,K99991,"ko02020,ko03410,ko00190",M2019,,Stress response protein,NO
BHE81_RS00150,298.22058799539946,1.936750422021972,0.4822903111038658,4.015735704059943,5.926063805442821e-05,0.000827882887257,BHE81_RS00150,gene_33,K99991,"ko02020,ko03410,ko00190",M2033,,Stress response protein,NO
BHE81_RS00155,12.573011936273758,2.830893461409694,0.8433333606592054,3.3567905569357293,0.0007885282013271,0.007343930422515,BHE81_RS00155,gene_34,K99991,"ko02020,ko03410,ko00190",M2034,,Stress response protein,NO
BHE81_RS00160,32.46164166651745,1.2138936083152605,0.461283423265487,2.6315569714644096,0.0084994615487923,0.0494610045163514,BHE81_RS00160,gene_35,K99991,"ko02020,ko03410,ko00190",M2035,,Stress response protein,NO
BHE81_RS00460,179.06704274147708,2.550437751630637,0.3692714537444273,6.906674550033846,4.961463719562942e-12,2.8287047882210876e-10,BHE81_RS00460,gene_42,K99991,"ko02020,ko03410,ko00190",M2042,,Stress response protein,NO
BHE81_RS00465,79.97430039334773,1.5484048436580056,0.4879157187865187,3.1735088336752075,0.0015060831865793,0.0126576991318289,BHE81_RS00465,gene_43,K99991,"ko02020,ko03410,ko00190",M2043,,Stress response protein,NO
