Geneid,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,locus_tag,gene,product,protein_id,note,feature_type,sequence,start,end,strand
BHE81_RS25440,94.18107084834736,-1.6173781325529266,0.5503337186624162,-2.9389043006195537,0.0032937475816358,0.0234339309391595,BHE81_RS25440,traT,,,,gene,NZ_MJDM01000014.1,1443,2154,+
BHE81_RS25440,94.18107084834736,-1.6173781325529266,0.5503337186624162,-2.9389043006195537,0.0032937475816358,0.0234339309391595,BHE81_RS25440,traT,conjugal transfer complement resistance protein TraT,WP_149888846.1,,CDS,NZ_MJDM01000014.1,1443,2154,+
BHE81_RS25745,680.2838194725936,-1.567361336475284,0.4868766302804125,-3.219216612579197,0.0012854134459062,0.0111130314104064,BHE81_RS25745,,,,,gene,NZ_MJDM01000024.1,238,357,+
BHE81_RS25745,680.2838194725936,-1.567361336475284,0.4868766302804125,-3.219216612579197,0.0012854134459062,0.0111130314104064,BHE81_RS25745,,type I toxin-antitoxin system Hok family toxin,WP_159376494.1,,CDS,NZ_MJDM01000024.1,238,357,+
BHE81_RS26290,93.06533747421436,-1.7177060572250389,0.3889397946473508,-4.416380326375376,1.0036742660657198e-05,0.0001721342166069,BHE81_RS26290,lacZ,,,,gene,NZ_MJDM01000041.1,26916,29990,+
BHE81_RS26290,93.06533747421436,-1.7177060572250389,0.3889397946473508,-4.416380326375376,1.0036742660657198e-05,0.0001721342166069,BHE81_RS26290,lacZ,beta-galactosidase,WP_004182121.1,,CDS,NZ_MJDM01000041.1,26916,29990,+
BHE81_RS26665,154.31088609966048,-1.570164314203731,0.3310707151361007,-4.742685602857528,2.109034504155456e-06,4.4490082865159344e-05,BHE81_RS26665,,,,,gene,NZ_MJDM01000045.1,23292,24074,+
BHE81_RS26665,154.31088609966048,-1.570164314203731,0.3310707151361007,-4.742685602857528,2.109034504155456e-06,4.4490082865159344e-05,BHE81_RS26665,,hypothetical protein,WP_048295721.1,,CDS,NZ_MJDM01000045.1,23292,24074,+
BHE81_RS26880,5.014922202807186,-4.27886664399761,1.4918425086159388,-2.8681758424804107,0.004128460103718,0.0282601053454399,BHE81_RS26880,,,,,gene,NZ_MJDM01000045.1,63070,63321,-
BHE81_RS26880,5.014922202807186,-4.27886664399761,1.4918425086159388,-2.8681758424804107,0.004128460103718,0.0282601053454399,BHE81_RS26880,,hypothetical protein,WP_103468676.1,,CDS,NZ_MJDM01000045.1,63070,63321,-
BHE81_RS26885,52.5869578872756,-1.1328963501930551,0.3838213627883359,-2.9516240106150846,0.003161075842931,0.0228366078447365,BHE81_RS26885,tnpC,,,,gene,NZ_MJDM01000045.1,63359,64951,-
BHE81_RS26885,52.5869578872756,-1.1328963501930551,0.3838213627883359,-2.9516240106150846,0.003161075842931,0.0228366078447365,BHE81_RS26885,tnpC,IS66 family transposase,WP_044596437.1,,CDS,NZ_MJDM01000045.1,63359,64951,-
BHE81_RS27425,32.20734323772153,-2.4977439965575434,0.5318323556218233,-4.696487474210097,2.646734578541849e-06,5.42066659556702e-05,BHE81_RS27425,,,,,gene,NZ_MJDM01000045.1,156523,157791,+
BHE81_RS27425,32.20734323772153,-2.4977439965575434,0.5318323556218233,-4.696487474210097,2.646734578541849e-06,5.42066659556702e-05,BHE81_RS27425,,IS4-like element ISApu1 family transposase,WP_011191342.1,,CDS,NZ_MJDM01000045.1,156523,157791,+
BHE81_RS27530,299.3020621650754,-1.0184729328210596,0.3467197904353936,-2.9374525507820346,0.0033092080753771,0.0235042910269635,BHE81_RS27530,,,,,gene,NZ_MJDM01000045.1,171851,172696,-
BHE81_RS27530,299.3020621650754,-1.0184729328210596,0.3467197904353936,-2.9374525507820346,0.0033092080753771,0.0235042910269635,BHE81_RS27530,,AraC family transcriptional regulator,WP_003464995.1,,CDS,NZ_MJDM01000045.1,171851,172696,-
BHE81_RS27565,213.70367860990223,-2.5576791254612465,0.389322794085831,-6.569559153264924,5.046444445881578e-11,2.475691757810974e-09,BHE81_RS27565,tnpC,IS66 family transposase,,,CDS,NZ_MJDM01000045.1,177620,178708,+
BHE81_RS27570,1071.9344056339517,-2.5941195465427778,0.3304990184971678,-7.849099093663444,4.190364355979956e-15,4.311987126312057e-13,BHE81_RS27570,,,,,gene,NZ_MJDM01000045.1,178959,179522,-
BHE81_RS27570,1071.9344056339517,-2.5941195465427778,0.3304990184971678,-7.849099093663444,4.190364355979956e-15,4.311987126312057e-13,BHE81_RS27570,,chlorite dismutase family protein,WP_001097412.1,,CDS,NZ_MJDM01000045.1,178959,179522,-
BHE81_RS27575,972.3292420383392,-1.7397948377145744,0.5452068163155923,-3.191073159121136,0.0014174538307846,0.0120326714528779,BHE81_RS27575,,,,,gene,NZ_MJDM01000045.1,179546,179920,-
BHE81_RS27575,972.3292420383392,-1.7397948377145744,0.5452068163155923,-3.191073159121136,0.0014174538307846,0.0120326714528779,BHE81_RS27575,,cupin domain-containing protein,WP_001348195.1,,CDS,NZ_MJDM01000045.1,179546,179920,-
BHE81_RS27690,28.43466130497776,-2.134903750647442,0.503634657210457,-4.238992928866919,2.2452472966953066e-05,0.0003615533719373,BHE81_RS27690,traX,,,,gene,NZ_MJDM01000045.1,197119,197844,-
BHE81_RS27690,28.43466130497776,-2.134903750647442,0.503634657210457,-4.238992928866919,2.2452472966953066e-05,0.0003615533719373,BHE81_RS27690,traX,type-F conjugative transfer system pilin acetylase TraX,WP_009309882.1,,CDS,NZ_MJDM01000045.1,197119,197844,-
BHE81_RS00020,15.877885872133092,-3.3748325707804048,0.7433274102354516,-4.540169680694829,5.620897463248051e-06,0.0001031068104236,BHE81_RS00020,,,,,gene,NZ_MJDM01000001.1,4251,5375,-
BHE81_RS00020,15.877885872133092,-3.3748325707804048,0.7433274102354516,-4.540169680694829,5.620897463248051e-06,0.0001031068104236,BHE81_RS00020,,ABC transporter permease,WP_023343053.1,,CDS,NZ_MJDM01000001.1,4251,5375,-
BHE81_RS00025,67.03114560286132,-3.2718865118623754,0.5516683519761845,-5.930893987559437,3.012897034926078e-09,1.1661846413168005e-07,BHE81_RS00025,rbbA,,,,gene,NZ_MJDM01000001.1,5375,8119,-
BHE81_RS00025,67.03114560286132,-3.2718865118623754,0.5516683519761845,-5.930893987559437,3.012897034926078e-09,1.1661846413168005e-07,BHE81_RS00025,rbbA,ribosome-associated ATPase/putative transporter RbbA,WP_023343054.1,,CDS,NZ_MJDM01000001.1,5375,8119,-
BHE81_RS00030,43.4440475583484,-3.721724974621528,0.525233475005229,-7.085848773413529,1.3819465660980242e-12,8.833988730859946e-11,BHE81_RS00030,,,,,gene,NZ_MJDM01000001.1,8116,9183,-
BHE81_RS00030,43.4440475583484,-3.721724974621528,0.525233475005229,-7.085848773413529,1.3819465660980242e-12,8.833988730859946e-11,BHE81_RS00030,,HlyD family secretion protein,WP_023343055.1,,CDS,NZ_MJDM01000001.1,8116,9183,-
BHE81_RS00060,12.48967104106231,-2.162495600450047,0.808224583607243,-2.6756122547008694,0.0074592888505632,0.0447027551996113,BHE81_RS00060,,,,,gene,NZ_MJDM01000001.1,15473,16255,-
