Geneid,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,locus_tag,gene,product,protein_id,note,feature_type,sequence,start,end,strand
BHE81_RS27925,49.20169749192987,1.5603231414577663,0.4594620078969053,3.39597858939378,0.0006838370849281,0.0065126606350152,BHE81_RS27925,,,,,gene,NZ_MJDM01000052.1,686,2749,+
BHE81_RS27925,49.20169749192987,1.5603231414577663,0.4594620078969053,3.39597858939378,0.0006838370849281,0.0065126606350152,BHE81_RS27925,,TonB-dependent copper receptor,WP_004182117.1,,CDS,NZ_MJDM01000052.1,686,2749,+
BHE81_RS25440,94.18107084834736,-1.6173781325529266,0.5503337186624162,-2.9389043006195537,0.0032937475816358,0.0234339309391595,BHE81_RS25440,traT,,,,gene,NZ_MJDM01000014.1,1443,2154,+
BHE81_RS25440,94.18107084834736,-1.6173781325529266,0.5503337186624162,-2.9389043006195537,0.0032937475816358,0.0234339309391595,BHE81_RS25440,traT,conjugal transfer complement resistance protein TraT,WP_149888846.1,,CDS,NZ_MJDM01000014.1,1443,2154,+
BHE81_RS25745,680.2838194725936,-1.567361336475284,0.4868766302804125,-3.219216612579197,0.0012854134459062,0.0111130314104064,BHE81_RS25745,,,,,gene,NZ_MJDM01000024.1,238,357,+
BHE81_RS25745,680.2838194725936,-1.567361336475284,0.4868766302804125,-3.219216612579197,0.0012854134459062,0.0111130314104064,BHE81_RS25745,,type I toxin-antitoxin system Hok family toxin,WP_159376494.1,,CDS,NZ_MJDM01000024.1,238,357,+
BHE81_RS26050,28.234162678415903,2.2412493975102974,0.6749981924147711,3.3203783694476923,0.0008989552119522,0.0081915594799707,BHE81_RS26050,,,,,gene,NZ_MJDM01000040.1,805,1347,+
BHE81_RS26050,28.234162678415903,2.2412493975102974,0.6749981924147711,3.3203783694476923,0.0008989552119522,0.0081915594799707,BHE81_RS26050,,single-stranded DNA-binding protein,WP_004182056.1,,CDS,NZ_MJDM01000040.1,805,1347,+
BHE81_RS26220,22.98890963622583,2.933596455848682,0.6550128682567774,4.478685225919343,7.510418553435159e-06,0.0001354122046023,BHE81_RS26220,fecI,,,,gene,NZ_MJDM01000041.1,14026,14547,+
BHE81_RS26220,22.98890963622583,2.933596455848682,0.6550128682567774,4.478685225919343,7.510418553435159e-06,0.0001354122046023,BHE81_RS26220,fecI,RNA polymerase sigma factor FecI,WP_004197062.1,,CDS,NZ_MJDM01000041.1,14026,14547,+
