Geneid,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,locus_tag,gene,product,protein_id,note,feature_type,sequence,start,end,strand
BHE81_RS27925,49.20169749192987,1.5603231414577663,0.4594620078969053,3.39597858939378,0.0006838370849281,0.0065126606350152,BHE81_RS27925,,,,,gene,NZ_MJDM01000052.1,686,2749,+
BHE81_RS27925,49.20169749192987,1.5603231414577663,0.4594620078969053,3.39597858939378,0.0006838370849281,0.0065126606350152,BHE81_RS27925,,TonB-dependent copper receptor,WP_004182117.1,,CDS,NZ_MJDM01000052.1,686,2749,+
BHE81_RS26050,28.234162678415903,2.2412493975102974,0.6749981924147711,3.3203783694476923,0.0008989552119522,0.0081915594799707,BHE81_RS26050,,,,,gene,NZ_MJDM01000040.1,805,1347,+
BHE81_RS26050,28.234162678415903,2.2412493975102974,0.6749981924147711,3.3203783694476923,0.0008989552119522,0.0081915594799707,BHE81_RS26050,,single-stranded DNA-binding protein,WP_004182056.1,,CDS,NZ_MJDM01000040.1,805,1347,+
BHE81_RS26220,22.98890963622583,2.933596455848682,0.6550128682567774,4.478685225919343,7.510418553435159e-06,0.0001354122046023,BHE81_RS26220,fecI,,,,gene,NZ_MJDM01000041.1,14026,14547,+
BHE81_RS26220,22.98890963622583,2.933596455848682,0.6550128682567774,4.478685225919343,7.510418553435159e-06,0.0001354122046023,BHE81_RS26220,fecI,RNA polymerase sigma factor FecI,WP_004197062.1,,CDS,NZ_MJDM01000041.1,14026,14547,+
BHE81_RS26230,140.88746080958273,2.538400963269346,0.5165599601955935,4.914049014383906,8.92144305017358e-07,1.991511546491129e-05,BHE81_RS26230,fecA,,,,gene,NZ_MJDM01000041.1,15583,17907,+
BHE81_RS26230,140.88746080958273,2.538400963269346,0.5165599601955935,4.914049014383906,8.92144305017358e-07,1.991511546491129e-05,BHE81_RS26230,fecA,TonB-dependent Fe(3+) dicitrate receptor FecA,WP_032415036.1,,CDS,NZ_MJDM01000041.1,15583,17907,+
BHE81_RS26235,30.85950926306963,2.369513940616809,0.5051601112226739,4.690619643110203,2.723789000235715e-06,5.523600548130027e-05,BHE81_RS26235,fecB,,,,gene,NZ_MJDM01000041.1,17952,18854,+
BHE81_RS26235,30.85950926306963,2.369513940616809,0.5051601112226739,4.690619643110203,2.723789000235715e-06,5.523600548130027e-05,BHE81_RS26235,fecB,Fe(3+) dicitrate ABC transporter substrate-binding protein FecB,WP_032415038.1,,CDS,NZ_MJDM01000041.1,17952,18854,+
