locus_tag,product,protein_id
BHE81_RS25410,IS1 family transposase,WP_019725171.1
BHE81_RS25415,transposase,
BHE81_RS25585,IS1 family transposase,WP_223174975.1
BHE81_RS25585,IS1 family transposase,WP_223174975.1
BHE81_RS25590,BCCT family transporter,WP_004178088.1
BHE81_RS25595,DUF2254 domain-containing protein,WP_004152070.1
BHE81_RS28870,EAL domain-containing protein,WP_004178087.1
BHE81_RS28875,CSS-motif domain-containing protein,
BHE81_RS25605,hypothetical protein,WP_004197688.1
BHE81_RS25610,IS5-like element IS903B family transposase,WP_074385057.1
BHE81_RS25620,EAL domain-containing protein,WP_074428705.1
BHE81_RS25625,sensor domain-containing diguanylate cyclase,WP_004182028.1
BHE81_RS25630,tyrosine-type recombinase/integrase,WP_001515717.1
BHE81_RS25635,RepB family plasmid replication initiator protein,WP_004182030.1
BHE81_RS25640,plasmid-partitioning protein SopA,WP_004182032.1
BHE81_RS25645,ParB/RepB/Spo0J family plasmid partition protein,WP_004182039.1
BHE81_RS25655,IS3 family transposase,
BHE81_RS25660,IS1-like element IS1A family transposase,
BHE81_RS25670,DUF262 domain-containing protein,WP_004182042.1
BHE81_RS25675,DUF262 domain-containing protein,WP_000037308.1
BHE81_RS25680,type II toxin-antitoxin system Phd/YefM family antitoxin,WP_004182043.1
BHE81_RS25685,Y-family DNA polymerase,
BHE81_RS25690,translesion error-prone DNA polymerase V autoproteolytic subunit,WP_004182047.1
BHE81_RS25700,group II intron reverse transcriptase/maturase,WP_024623221.1
BHE81_RS25705,hypothetical protein,WP_004118481.1
BHE81_RS25715,antirestriction protein,WP_004118478.1
BHE81_RS25720,DNA polymerase III subunit theta,WP_004152754.1
BHE81_RS28880,hypothetical protein,
BHE81_RS25885,IS3-like element ISEc15 family transposase,WP_201306696.1
BHE81_RS25885,IS3-like element ISEc15 family transposase,WP_201306696.1
BHE81_RS25890,hypothetical protein,WP_004197483.1
BHE81_RS25905,incFII family plasmid replication initiator RepA,WP_117247346.1
BHE81_RS29060,RepA leader peptide Tap,WP_012539968.1
BHE81_RS25915,replication regulatory protein RepA,WP_009309889.1
BHE81_RS25920,phospholipase D family protein,WP_149888852.1
BHE81_RS26345,LysR substrate-binding domain-containing protein,WP_077255705.1
BHE81_RS26350,LysR family transcriptional regulator,WP_032413424.1
BHE81_RS26355,M55 family metallopeptidase,WP_015065586.1
BHE81_RS26360,P1 family peptidase,WP_023328922.1
BHE81_RS26365,ABC transporter permease subunit,WP_023328923.1
BHE81_RS26370,ABC transporter permease,WP_149888857.1
BHE81_RS26375,glutathione ABC transporter substrate-binding protein,WP_015065582.1
BHE81_RS26380,ABC transporter ATP-binding protein,WP_015065581.1
BHE81_RS26385,N-acetyl-D-Glu racemase DgcA,WP_023328925.1
BHE81_RS26390,N-acetyltransferase DgcN,WP_032413314.1
BHE81_RS26395,tautomerase family protein,WP_032415000.1
BHE81_RS26400,LysR family transcriptional regulator,
BHE81_RS26405,IS5-like element ISKpn26 family transposase,WP_032414998.1
BHE81_RS29075,hypothetical protein,WP_305956163.1
BHE81_RS26410,hypothetical protein,WP_004118347.1
BHE81_RS26415,copper resistance membrane spanning protein PcoS,WP_032414995.1
BHE81_RS26420,copper response regulator transcription factor PcoR,WP_001188930.1
BHE81_RS26425,copper resistance inner membrane protein PcoD,WP_080821469.1
BHE81_RS26430,copper resistance system metallochaperone PcoC,WP_000025662.1
BHE81_RS26435,copper resistance outer membrane transporter PcoB,WP_001378118.1
BHE81_RS26440,multicopper oxidase PcoA,WP_000925242.1
BHE81_RS26445,copper resistance protein,WP_001023257.1
BHE81_RS26450,peptidoglycan DD-metalloendopeptidase family protein,WP_004118669.1
BHE81_RS26455,DUF2933 domain-containing protein,WP_000843497.1
BHE81_RS26460,Ag(+)-translocating P-type ATPase SilP,WP_032414993.1
BHE81_RS26465,DUF411 domain-containing protein,WP_000758228.1
BHE81_RS26470,Cu(+)/Ag(+) efflux RND transporter permease subunit SilA,WP_032414991.1
BHE81_RS26475,Cu(+)/Ag(+) efflux RND transporter periplasmic adaptor subunit SilB,WP_004098959.1
BHE81_RS26480,cation efflux system protein CusF,WP_001246153.1
BHE81_RS26485,Cu(+)/Ag(+) efflux RND transporter outer membrane channel SilC,WP_032414989.1
BHE81_RS26490,copper/silver response regulator transcription factor SilR,WP_000697969.1
BHE81_RS26495,copper/silver sensor histidine kinase SilS,WP_000555737.1
BHE81_RS26500,silver-binding protein SilE,WP_004178091.1
BHE81_RS29185,ISL3 family transposase,
BHE81_RS26505,IS66-like element accessory protein TnpA,WP_004114613.1
BHE81_RS26510,IS66 family insertion sequence element accessory protein TnpB,WP_004114612.1
BHE81_RS26515,IS66 family transposase,WP_016808813.1
BHE81_RS27895,type IV secretion system protein TraC,
BHE81_RS27900,type-F conjugative transfer system protein TrbI,WP_013214025.1
BHE81_RS27905,type-F conjugative transfer system protein TraW,WP_013214026.1
BHE81_RS27910,hypothetical protein,WP_004194979.1
BHE81_RS27915,conjugal transfer pilus assembly protein TraU,WP_149888866.1
BHE81_RS27920,DUF2946 family protein,WP_004182114.1
